ky,q,shat,electron_dens_gradient,beta,electron_nu,electron_temp_gradient,mode_frequency,growth_rate,freq_std,growth_std,elec_es_flux,elec_em_flux,ion_es_flux,ion_em_flux,converged,mtm,ftime,nsteps,tearing,frequency_ratio
0.406946974,2.831893105,4.297154571,2.823164145,0.089977583,0.028051847,4.739325976,-1.860461929,0.147288097,1.147475285,0.0001292,5.77E-05,0.003916132,-2.47E-06,9.21E-05,1,1,11.16,570,0.238945915,0.880398104
0.546496387,4.35537701,3.424423272,0.365130685,0.228326537,0.094954559,3.405716415,-1.139552075,0.110996445,1.37E-05,2.48E-05,4.58E-05,0.016441029,9.21E-07,8.50E-05,1,1,37.08,1860,0.373630825,1.008320692
0.727979738,8.001133854,4.785699462,2.164697685,0.275598262,0.05140221,2.4996535,-2.363132247,0.054402962,1.17E-06,1.68E-05,7.30E-05,0.130053736,4.74E-06,0.000160382,1,1,58.56,2940,0.780990222,0.95068909
0.608829481,5.79939941,0.863046631,3.278224996,0.034741379,0.077098636,1.815247318,-0.954599184,-0.042551752,0.366763091,0.013880578,1.57E-05,-0.00125537,3.65E-05,0.000122209,1,0,1599.6,79980,0.173607606,0.374577652
0.46922035,7.336521691,1.851453356,0.74279699,0.171778153,0.044385957,3.240703483,-1.067790591,0.242065594,0.001536693,0.002897769,-2.50E-05,0.053917349,1.22E-06,1.82E-05,1,1,21.42,1080,0.342678377,0.962982056
0.858601313,6.522873566,0.976981104,0.43249593,0.162258209,0.009376585,0.728996633,-0.475132184,0.127164445,0.01333828,0.012538689,-2.82E-05,0.038434958,3.99E-07,2.66E-05,1,1,76.8,3840,0.50780055,0.694332853
0.219600395,8.496014143,1.813735982,2.967923917,0.007073477,0.063765047,2.052904834,-1.135311526,0.021408189,0.184301697,0.030964397,-4.10E-06,0.007017521,1.56E-05,0.00020347,1,1,550.24,27540,0.289192407,1.294294036
0.914390977,3.102051948,2.302281313,2.056509909,0.191534896,0.040434924,4.983103192,-0.530895394,0.058934469,0.112550263,0.051894667,-0.000268755,0.003309878,-0.000896693,0.002074652,1,0,586.24,29340,0.014094767,0.127658782
0.976664237,8.696922748,4.749185966,4.311286977,0.146989817,0.031809558,2.79177624,-3.854445483,0.232066697,2.001140212,0.209764581,2.70E-05,-0.002318055,-0.000870475,0.000686897,1,1,1599.6,79980,0.102817565,0.69150516
0.120385702,7.173865156,2.646155719,1.853253685,0.285190972,0.089650324,1.361628492,-0.314418395,0.018299704,1.23E-06,6.18E-06,-1.78E-06,0.002270921,5.42E-07,5.32E-06,1,1,35.76,1800,0.729867385,1.030658486
0.157328203,3.337073306,4.337272548,0.677869978,0.255914285,0.058360953,5.702217981,-0.598872299,0.071487282,1.38E-05,9.65E-06,9.70E-06,0.000167294,-7.40E-07,5.11E-06,1,1,15.92,810,0.123782573,1.078645095
0.79626751,5.296562181,3.308088215,3.135903456,0.099712979,0.013234513,4.287804003,-2.925479269,-0.013916182,0.749948337,0.028654834,0.000124475,-0.009436231,0.000201631,-0.000573661,1,1,1599.6,79980,0.042508085,0.695857173
0.770323738,7.403637065,2.099054818,9.940925751,0.280693053,0.060702615,5.539886768,-3.040158213,0.007306945,1.726790208,0.03037546,0.00062842,-0.006422243,0.000440095,-0.000842113,1,0,1599.6,79980,0.000342759,0.310490028
0.376363084,5.19450327,4.972548495,2.491372164,0.019695728,0.045211075,0.613320973,-0.669535462,-0.046743708,0.165005991,0.063142186,1.53E-07,0.001231619,5.83E-05,-7.49E-05,1,1,1599.6,79980,0.194719638,0.635790139
0.697272261,6.839406167,4.074327297,2.535423737,0.197458813,0.071652989,3.888446849,-2.78810763,0.003986236,1.600600664,0.019303816,0.000176443,-0.000972841,0.000171715,0.000232421,1,1,1471.82,73620,0.027633466,0.892613269
0.337472668,8.813190013,3.242389661,0.077371564,0.046311382,0.001489024,5.286437025,-1.212123002,0.201082329,0.001845486,0.001600704,-1.59E-05,0.081429478,3.82E-06,9.08E-05,1,1,12.22,630,0.444925748,1.320215959
